collection_name,app_scope,source_doc_count,target_doc_count,source_index_count,target_index_count,migration_mode,validation_query,status,evidence_path,notes
__kdconfig,global,0,0,2,2,full_target_db_migration,"db.__kdconfig.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
__pre_musicStorage,global,0,0,2,2,full_target_db_migration,"db.__pre_musicStorage.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
__pre_pictureStorage,global,0,0,2,2,full_target_db_migration,"db.__pre_pictureStorage.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
__pre_videoStorage,global,0,0,2,2,full_target_db_migration,"db.__pre_videoStorage.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
advertisements,global,57,57,2,2,full_target_db_migration,"db.advertisements.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
aiQueries,global,54,54,1,1,full_target_db_migration,"db.aiQueries.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
appLiveStreams,global,412,412,1,1,full_target_db_migration,"db.appLiveStreams.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
appLiveStreamsGifts,global,25,25,1,1,full_target_db_migration,"db.appLiveStreamsGifts.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
appLiveStreamsLogs,global,1994,1994,4,4,full_target_db_migration,"db.appLiveStreamsLogs.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
appLiveStreamsTokens,global,0,0,2,2,full_target_db_migration,"db.appLiveStreamsTokens.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
apps,global,596,596,6,6,full_target_db_migration,"db.apps.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
appsTranslations,global,2,2,1,1,full_target_db_migration,"db.appsTranslations.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
artistContactList,global,148,148,2,2,full_target_db_migration,"db.artistContactList.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
artistEmailsBalance,global,344,344,1,1,full_target_db_migration,"db.artistEmailsBalance.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
artistNotificationBalance,global,306,306,2,2,full_target_db_migration,"db.artistNotificationBalance.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
artists,global,466,466,3,3,full_target_db_migration,"db.artists.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
artistsFav,global,381,381,1,1,full_target_db_migration,"db.artistsFav.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
artistTextMessageBalance,global,329,329,2,2,full_target_db_migration,"db.artistTextMessageBalance.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
audio,global,1075,1075,3,3,full_target_db_migration,"db.audio.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
backup_pressArticles_fix_2026-03-06T18-20-48-296Z,global,417,417,1,1,full_target_db_migration,"db.backup_pressArticles_fix_2026-03-06T18-20-48-296Z.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
